Date : 2025-06-03 09:36:03
Directory : c:\Users\User\Documents\Nestly_frntd
Total : 61 files,  20476 codes, 165 comments, 1103 blanks, all 21744 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     14,399 |          4 |          5 |     14,408 |
| PostCSS            |          9 |      2,613 |         70 |        497 |      3,180 |
| HTML               |         12 |      1,321 |         52 |        201 |      1,574 |
| TypeScript         |         29 |      1,052 |         21 |        197 |      1,270 |
| SCSS               |          3 |      1,026 |         16 |        180 |      1,222 |
| Markdown           |          2 |         34 |          0 |         22 |         56 |
| JSON with Comments |          1 |         31 |          2 |          1 |         34 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |         61 |     20,476 |        165 |      1,103 |     21,744 |
| . (Files)                                                                                                                    |          1 |         20 |          0 |          8 |         28 |
| Desktop                                                                                                                      |         60 |     20,456 |        165 |      1,095 |     21,716 |
| Desktop\Front                                                                                                                |         60 |     20,456 |        165 |      1,095 |     21,716 |
| Desktop\Front\Nestly_front                                                                                                   |         60 |     20,456 |        165 |      1,095 |     21,716 |
| Desktop\Front\Nestly_front (Files)                                                                                           |          7 |     14,444 |          6 |         20 |     14,470 |
| Desktop\Front\Nestly_front\src                                                                                               |         53 |      6,012 |        159 |      1,075 |      7,246 |
| Desktop\Front\Nestly_front\src (Files)                                                                                       |          3 |         19 |          1 |          5 |         25 |
| Desktop\Front\Nestly_front\src\app                                                                                           |         50 |      5,993 |        158 |      1,070 |      7,221 |
| Desktop\Front\Nestly_front\src\app (Files)                                                                                   |         11 |        313 |         16 |         56 |        385 |
| Desktop\Front\Nestly_front\src\app\autorizacion                                                                              |          6 |        845 |         27 |        109 |        981 |
| Desktop\Front\Nestly_front\src\app\autorizacion\login                                                                        |          3 |        348 |         15 |         47 |        410 |
| Desktop\Front\Nestly_front\src\app\autorizacion\registro                                                                     |          3 |        497 |         12 |         62 |        571 |
| Desktop\Front\Nestly_front\src\app\inicio                                                                                    |         32 |      4,835 |        115 |        902 |      5,852 |
| Desktop\Front\Nestly_front\src\app\inicio (Files)                                                                            |          3 |         55 |          1 |          9 |         65 |
| Desktop\Front\Nestly_front\src\app\inicio\Publicar                                                                           |          3 |        596 |         29 |         75 |        700 |
| Desktop\Front\Nestly_front\src\app\inicio\alquilar-casa                                                                      |          4 |        301 |          2 |        134 |        437 |
| Desktop\Front\Nestly_front\src\app\inicio\configuracion                                                                      |          3 |        463 |          4 |         73 |        540 |
| Desktop\Front\Nestly_front\src\app\inicio\dashboard                                                                          |          4 |        776 |         14 |        149 |        939 |
| Desktop\Front\Nestly_front\src\app\inicio\editarPerfil                                                                       |          3 |        689 |         18 |        123 |        830 |
| Desktop\Front\Nestly_front\src\app\inicio\navbar                                                                             |          4 |        312 |         11 |         69 |        392 |
| Desktop\Front\Nestly_front\src\app\inicio\perfil                                                                             |          4 |        927 |         17 |        133 |      1,077 |
| Desktop\Front\Nestly_front\src\app\inicio\qn-somos                                                                           |          4 |        716 |         19 |        137 |        872 |
| Desktop\Front\Nestly_front\src\app\interface                                                                                 |          1 |          0 |          0 |          3 |          3 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                     | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\README.md                                                    | Markdown           |         14 |          0 |         14 |         28 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\angular.json                                                 | JSON               |        114 |          0 |          1 |        115 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\package-lock.json                                            | JSON               |     14,219 |          0 |          1 |     14,220 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\package.json                                                 | JSON               |         40 |          0 |          1 |         41 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app-routing.module.ts                                | TypeScript         |         34 |          0 |          2 |         36 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.css                                    | PostCSS            |         74 |          8 |         14 |         96 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.html                                   | HTML               |          1 |          0 |          0 |          1 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.spec.ts                                | TypeScript         |         31 |          0 |          5 |         36 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.ts                                     | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.module.ts                                        | TypeScript         |         40 |          0 |          2 |         42 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\auth.guard.spec.ts                                   | TypeScript         |         13 |          0 |          5 |         18 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\auth.guard.ts                                        | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\auth.service.ts                                      | TypeScript         |         27 |          0 |          8 |         35 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\login\login.component.css               | PostCSS            |        179 |          6 |         26 |        211 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\login\login.component.html              | HTML               |         78 |          7 |          8 |         93 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\login\login.component.ts                | TypeScript         |         91 |          2 |         13 |        106 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\registro\registro.component.html        | HTML               |        164 |         10 |         12 |        186 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\registro\registro.component.scss        | SCSS               |        226 |          2 |         37 |        265 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\registro\registro.component.ts          | TypeScript         |        107 |          0 |         13 |        120 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\http.service.ts                                      | TypeScript         |         52 |          8 |         12 |         72 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\Publicar\publicar.component.css               | PostCSS            |        234 |         12 |         39 |        285 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\Publicar\publicar.component.html              | HTML               |        192 |         12 |         13 |        217 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\Publicar\publicar.component.ts                | TypeScript         |        170 |          5 |         23 |        198 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\alquilar-casa\alquilar-casa.component.css     | PostCSS            |        217 |          2 |         82 |        301 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\alquilar-casa\alquilar-casa.component.html    | HTML               |         58 |          0 |         43 |        101 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\alquilar-casa\alquilar-casa.component.spec.ts | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\alquilar-casa\alquilar-casa.component.ts      | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\configuracion\configuracion.component.html    | HTML               |         75 |          0 |         11 |         86 |
