"filename", "language", "JSON", "JSON with Comments", "TypeScript", "PostCSS", "HTML", "SCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\angular.json", "JSON", 116, 0, 0, 0, 0, 0, 0, 0, 0, 1, 117
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\package-lock.json", "JSON", 14744, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14745
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app-routing.module.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.css", "PostCSS", 0, 0, 0, 74, 0, 0, 0, 0, 8, 14, 96
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.html", "HTML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.module.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 44
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\auth.guard.spec.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\auth.service.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\login\login.component.css", "PostCSS", 0, 0, 0, 179, 0, 0, 0, 0, 6, 26, 211
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\login\login.component.html", "HTML", 0, 0, 0, 0, 78, 0, 0, 0, 7, 8, 93
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\login\login.component.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 2, 13, 106
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\registro\registro.component.html", "HTML", 0, 0, 0, 0, 164, 0, 0, 0, 10, 12, 186
